Education Level,Years of Experience,Location,Industry,Job Title,Salary
High School,34,Suburban,Healthcare,Business Analyst,86852.46853684656
Bachelor's,21,Rural,Healthcare,Data Scientist,83112.70450925748
High School,26,Suburban,Education,Software Engineer,53347.71939491393
Bachelor's,18,Rural,Healthcare,Project Manager,95034.86498231345
Master's,11,Urban,Education,Data Scientist,80758.21668543229
PhD,19,Rural,Tech,Project Manager,103232.60101491516
High School,0,Rural,Healthcare,Data Scientist,-5328.181876788985
High School,20,Urban,Education,Data Scientist,49092.865539293896
PhD,0,Suburban,Tech,Software Engineer,92790.62508685293
High School,9,Rural,Finance,Business Analyst,52618.164260362166
High School,31,Rural,Tech,Others,92242.2503215139
Bachelor's,38,Urban,Tech,Data Scientist,134319.1013471759
High School,21,Suburban,Healthcare,Software Engineer,65948.58452778473
Master's,17,Suburban,Finance,Project Manager,87435.21030468555
Master's,31,Urban,Finance,Business Analyst,128683.35682528585
PhD,26,Urban,Healthcare,Data Scientist,110567.25515330728
High School,27,Rural,Tech,Project Manager,64365.83828902916
PhD,17,Urban,Education,Data Scientist,118453.38650444135
Master's,38,Urban,Healthcare,Others,128636.11204852285
High School,28,Urban,Tech,Others,63077.5370502018
High School,17,Suburban,Education,Business Analyst,66921.84969570095
PhD,7,Urban,Healthcare,Project Manager,107853.16969334694
Master's,30,Rural,Healthcare,Others,88704.0400586959
High School,33,Rural,Finance,Software Engineer,75565.29691726099
PhD,6,Rural,Finance,Business Analyst,96675.63565914062
Master's,35,Urban,Finance,Data Scientist,128042.93246829594
PhD,17,Suburban,Education,Project Manager,129475.81840812194
Bachelor's,37,Urban,Healthcare,Project Manager,88959.97969940818
High School,8,Urban,Finance,Software Engineer,31245.919495839484
Bachelor's,8,Rural,Finance,Others,71805.4669602009
Master's,7,Urban,Healthcare,Project Manager,82399.47223401218
Bachelor's,34,Suburban,Education,Software Engineer,82810.23434332537
Bachelor's,17,Rural,Finance,Software Engineer,52322.19601030076
Master's,4,Suburban,Tech,Data Scientist,82004.33430072977
PhD,13,Suburban,Education,Software Engineer,92334.93807234481
Bachelor's,27,Suburban,Finance,Business Analyst,112336.47493603613
PhD,29,Urban,Tech,Project Manager,124854.2971564067
Bachelor's,3,Urban,Finance,Business Analyst,53491.39274642724
PhD,38,Urban,Education,Software Engineer,164209.11966160306
Master's,19,Urban,Healthcare,Software Engineer,98293.22260763154
Bachelor's,24,Rural,Healthcare,Business Analyst,62257.72969422031
Master's,27,Urban,Education,Data Scientist,110842.95097616228
Bachelor's,11,Rural,Finance,Software Engineer,57097.60009897742
Master's,1,Suburban,Education,Business Analyst,73157.38427616443
Master's,13,Rural,Tech,Business Analyst,86118.6894776129
Bachelor's,21,Urban,Finance,Project Manager,75963.91248071803
Bachelor's,30,Rural,Education,Data Scientist,117968.7012065606
Bachelor's,22,Urban,Healthcare,Others,82224.16987272877
High School,19,Urban,Education,Business Analyst,60157.55345657504
PhD,37,Rural,Finance,Project Manager,115448.0269724611
High School,3,Rural,Education,Others,33382.16048900705
High School,14,Suburban,Healthcare,Project Manager,59060.69989274966
Master's,23,Suburban,Tech,Project Manager,91960.05122428972
Bachelor's,24,Suburban,Education,Data Scientist,88076.30500405491
PhD,0,Suburban,Education,Software Engineer,88224.9147451081
Master's,6,Suburban,Tech,Data Scientist,67585.3376203101
High School,30,Rural,Education,Others,66809.85071183105
Bachelor's,11,Suburban,Healthcare,Data Scientist,64980.67866434983
Master's,4,Rural,Tech,Software Engineer,78751.57821409358
Bachelor's,37,Suburban,Healthcare,Data Scientist,109450.50116789584
Master's,11,Urban,Healthcare,Data Scientist,82673.97477009105
Bachelor's,38,Suburban,Healthcare,Data Scientist,93260.10807552966
High School,17,Urban,Finance,Business Analyst,45697.00087957865
PhD,1,Rural,Tech,Business Analyst,108260.78249169265
High School,9,Suburban,Finance,Data Scientist,48094.305121611644
PhD,14,Rural,Finance,Software Engineer,112600.04259467688
Bachelor's,29,Suburban,Education,Software Engineer,104891.19198498585
Master's,16,Rural,Tech,Software Engineer,75515.7655152349
High School,3,Suburban,Education,Software Engineer,25893.05072382321
PhD,6,Suburban,Finance,Project Manager,94957.06547415681
High School,40,Urban,Education,Data Scientist,67890.15613710086
PhD,30,Rural,Healthcare,Data Scientist,142436.40500610045
High School,38,Rural,Finance,Project Manager,77562.74965485495
PhD,33,Rural,Healthcare,Software Engineer,145399.45561070065
PhD,5,Rural,Tech,Others,110887.03191469905
Bachelor's,37,Rural,Education,Others,100715.9802648075
PhD,33,Urban,Finance,Project Manager,143391.6294417016
Bachelor's,14,Suburban,Tech,Others,76468.44227778801
PhD,13,Urban,Healthcare,Business Analyst,118314.2628435859
Master's,5,Rural,Education,Data Scientist,91343.90247940143
Master's,36,Rural,Education,Others,136717.74322747192
Master's,31,Suburban,Finance,Business Analyst,99492.96780498578
PhD,2,Urban,Education,Data Scientist,92612.6890094066
Bachelor's,2,Suburban,Education,Business Analyst,52240.26317770205
Bachelor's,21,Suburban,Healthcare,Data Scientist,111961.41063695005
PhD,21,Urban,Healthcare,Data Scientist,121646.0881875453
Master's,9,Suburban,Healthcare,Others,76861.16096663818
Master's,2,Urban,Tech,Project Manager,77363.25429476643
Bachelor's,11,Urban,Tech,Others,70413.85719623779
Master's,28,Rural,Education,Software Engineer,104850.27136270308
High School,16,Suburban,Tech,Business Analyst,54085.3899702911
Bachelor's,6,Rural,Finance,Software Engineer,70733.03956062085
Master's,12,Suburban,Healthcare,Data Scientist,78612.01845740179
Bachelor's,1,Suburban,Tech,Others,48109.46657131464
High School,3,Rural,Education,Software Engineer,29713.501378866124
Bachelor's,9,Rural,Healthcare,Software Engineer,77966.94597620588
Bachelor's,38,Rural,Tech,Software Engineer,105408.94203286344
Bachelor's,23,Urban,Healthcare,Data Scientist,81210.05902678729
Bachelor's,16,Suburban,Tech,Data Scientist,70530.93606737231
High School,5,Urban,Education,Data Scientist,54689.151236121514
PhD,18,Suburban,Tech,Software Engineer,129668.1774810704
Bachelor's,4,Suburban,Tech,Business Analyst,64151.502815234795
Bachelor's,31,Urban,Tech,Others,104682.46940973343
Master's,9,Urban,Healthcare,Others,103039.73240120409
Bachelor's,8,Suburban,Tech,Data Scientist,53069.952140217414
Master's,26,Rural,Tech,Software Engineer,129399.67512204491
PhD,12,Rural,Tech,Business Analyst,98311.26493474437
High School,18,Rural,Healthcare,Project Manager,49381.066803447706
High School,20,Rural,Education,Data Scientist,59917.89264832387
PhD,23,Suburban,Education,Project Manager,133575.42491318492
High School,37,Rural,Education,Others,85519.00140538742
PhD,3,Rural,Tech,Others,88528.42351912074
PhD,23,Rural,Healthcare,Business Analyst,99047.54254488875
PhD,34,Suburban,Education,Business Analyst,146048.03619275655
High School,2,Urban,Education,Project Manager,22987.69927201207
Master's,3,Rural,Education,Others,92655.09405659277
PhD,36,Suburban,Finance,Business Analyst,136587.87450185008
Bachelor's,39,Suburban,Healthcare,Business Analyst,124324.39797445957
High School,34,Rural,Finance,Others,46181.68967317319
PhD,30,Urban,Tech,Others,133194.830211986
PhD,24,Urban,Education,Software Engineer,126669.55732511812
Bachelor's,39,Urban,Tech,Business Analyst,102386.63634364434
Master's,12,Suburban,Healthcare,Project Manager,77051.61227213386
Master's,3,Rural,Tech,Data Scientist,67526.81362913072
Master's,13,Rural,Tech,Data Scientist,93289.0995275608
PhD,12,Suburban,Education,Others,111944.4197884411
PhD,26,Rural,Healthcare,Project Manager,129411.59642563834
PhD,5,Rural,Tech,Software Engineer,94567.13394190668
High School,16,Urban,Finance,Business Analyst,70691.98615055691
Bachelor's,35,Rural,Education,Software Engineer,111189.65448279813
PhD,39,Rural,Finance,Project Manager,161044.79924009088
Bachelor's,34,Suburban,Education,Software Engineer,99652.21245505252
Bachelor's,16,Suburban,Tech,Others,78738.43745622817
Master's,40,Urban,Education,Data Scientist,143280.53399047436
High School,1,Suburban,Tech,Others,40221.16284256811
PhD,12,Urban,Finance,Business Analyst,92884.19429363156
Master's,1,Urban,Tech,Others,65808.97989505355
Master's,27,Rural,Education,Project Manager,111828.03206994114
PhD,25,Urban,Education,Project Manager,156598.2233219551
Bachelor's,21,Rural,Education,Business Analyst,87496.11783582068
Master's,2,Urban,Finance,Business Analyst,67723.13773890218
Bachelor's,34,Suburban,Healthcare,Data Scientist,89382.4795937516
High School,11,Suburban,Finance,Software Engineer,53276.3127296691
Bachelor's,23,Suburban,Tech,Data Scientist,87868.20149659134
High School,4,Urban,Tech,Others,45669.0771308441
Bachelor's,19,Urban,Finance,Software Engineer,80590.4264135028
Master's,38,Rural,Finance,Business Analyst,117366.43644414177
Master's,38,Rural,Tech,Project Manager,136165.15097633385
High School,12,Rural,Tech,Others,40785.39627561573
PhD,40,Rural,Tech,Data Scientist,152535.06157123978
High School,11,Urban,Healthcare,Business Analyst,50267.650445431354
High School,12,Urban,Healthcare,Software Engineer,54272.510810436586
Bachelor's,9,Rural,Finance,Software Engineer,68961.51710842212
Bachelor's,32,Urban,Finance,Project Manager,119318.23038693718
High School,39,Urban,Healthcare,Business Analyst,97136.82622497529
Master's,15,Urban,Education,Business Analyst,77990.95613883954
Bachelor's,34,Urban,Healthcare,Others,92172.36198725383
PhD,2,Rural,Finance,Others,99635.98816528685
Bachelor's,4,Rural,Healthcare,Software Engineer,54050.69587474556
Bachelor's,25,Urban,Education,Data Scientist,91193.63183569268
PhD,10,Suburban,Finance,Software Engineer,97644.41443303926
High School,6,Rural,Tech,Others,57829.90383357175
PhD,9,Rural,Finance,Others,102397.52690441106
High School,33,Suburban,Healthcare,Others,98997.05108711394
High School,2,Rural,Healthcare,Software Engineer,31128.157030827886
High School,7,Suburban,Education,Business Analyst,37656.6543374921
PhD,30,Suburban,Healthcare,Data Scientist,124199.97338298323
High School,10,Urban,Education,Data Scientist,56468.686247253325
Master's,6,Rural,Finance,Others,86804.37497396601
PhD,1,Suburban,Healthcare,Project Manager,88318.03555560215
Master's,5,Urban,Finance,Software Engineer,67606.30096936057
High School,40,Rural,Tech,Business Analyst,81399.08526420144
Bachelor's,31,Urban,Tech,Others,84827.0319370303
High School,19,Urban,Education,Project Manager,62701.574313678786
Master's,33,Suburban,Healthcare,Others,110197.40055397117
Master's,15,Rural,Finance,Project Manager,91115.6958064803
PhD,24,Urban,Finance,Data Scientist,123522.0320198875
Bachelor's,11,Suburban,Healthcare,Project Manager,74191.22884239684
PhD,6,Suburban,Finance,Data Scientist,96232.58431367393
Master's,38,Urban,Healthcare,Data Scientist,112644.37522796163
High School,16,Urban,Healthcare,Software Engineer,36272.39133882775
Bachelor's,10,Suburban,Tech,Project Manager,78899.6094836263
High School,5,Urban,Healthcare,Business Analyst,46243.231165569596
High School,22,Urban,Finance,Business Analyst,68083.38441406802
Bachelor's,26,Rural,Healthcare,Project Manager,71053.68945469627
PhD,5,Suburban,Tech,Software Engineer,84639.72968911858
High School,37,Urban,Tech,Business Analyst,95420.9407123571
Master's,1,Suburban,Education,Others,80745.25708866664
High School,21,Rural,Finance,Business Analyst,68813.37635241638
Bachelor's,19,Suburban,Healthcare,Software Engineer,70444.42811118225
Bachelor's,24,Suburban,Finance,Data Scientist,82074.11914600221
Bachelor's,14,Suburban,Finance,Data Scientist,59752.53420829143
PhD,28,Rural,Healthcare,Data Scientist,139209.87773487854
High School,7,Rural,Tech,Software Engineer,51883.38012521705
PhD,36,Suburban,Finance,Data Scientist,152195.0408378083
PhD,32,Suburban,Education,Data Scientist,136034.99882825423
Bachelor's,21,Rural,Finance,Software Engineer,85552.66480915788
Bachelor's,4,Urban,Tech,Others,65938.24557866187
PhD,38,Rural,Education,Business Analyst,135400.63736236942
High School,17,Suburban,Education,Software Engineer,56919.34065394707
Master's,37,Urban,Education,Software Engineer,125123.0677559521
PhD,36,Urban,Education,Project Manager,149602.65018224495
High School,29,Urban,Healthcare,Data Scientist,70495.08913687922
Bachelor's,30,Rural,Healthcare,Others,89749.95096876638
Bachelor's,9,Rural,Healthcare,Project Manager,80266.57301518739
High School,14,Rural,Education,Others,39374.71838188566
Master's,17,Rural,Tech,Data Scientist,81764.78718084967
Bachelor's,22,Suburban,Finance,Data Scientist,77553.11672337772
Bachelor's,32,Urban,Education,Data Scientist,121994.59444074641
Bachelor's,15,Suburban,Tech,Business Analyst,69693.51980870377
High School,37,Rural,Finance,Others,76248.34615658618
PhD,34,Rural,Education,Others,137195.20413008137
Bachelor's,33,Suburban,Finance,Project Manager,113755.39399246818
PhD,27,Urban,Healthcare,Software Engineer,127146.5002427062
Master's,1,Urban,Healthcare,Data Scientist,66221.83251290896
Bachelor's,29,Rural,Healthcare,Data Scientist,93518.1686779797
Bachelor's,12,Rural,Tech,Project Manager,56168.44911765094
Master's,40,Rural,Healthcare,Others,133990.65392978812
Bachelor's,15,Rural,Tech,Business Analyst,79660.91577330345
PhD,4,Urban,Healthcare,Others,87888.468203799
High School,27,Suburban,Healthcare,Business Analyst,88202.49420947852
PhD,38,Urban,Healthcare,Business Analyst,173303.566108862
High School,19,Suburban,Tech,Others,48098.152614873485
High School,23,Rural,Finance,Data Scientist,37765.96490899388
PhD,26,Rural,Tech,Business Analyst,130262.9671486222
PhD,29,Suburban,Education,Project Manager,148753.60649607246
PhD,26,Rural,Education,Project Manager,123634.69894450105
PhD,25,Urban,Tech,Business Analyst,117991.51489651388
Master's,6,Rural,Tech,Data Scientist,73807.57538856915
Bachelor's,37,Rural,Finance,Business Analyst,90723.68626008069
High School,4,Rural,Tech,Project Manager,30362.16928890493
PhD,22,Rural,Healthcare,Project Manager,112546.20026172398
PhD,27,Urban,Finance,Others,121921.22243791551
PhD,33,Suburban,Tech,Data Scientist,148486.5093582282
Master's,14,Rural,Tech,Others,82461.60200750601
PhD,31,Rural,Education,Software Engineer,130797.81283051988
PhD,25,Urban,Finance,Business Analyst,143934.23812984204
PhD,30,Urban,Education,Others,118143.98681464084
Bachelor's,18,Urban,Tech,Data Scientist,74956.28125440497
Master's,8,Rural,Finance,Business Analyst,89825.4343698679
PhD,28,Suburban,Healthcare,Business Analyst,128510.35960349302
High School,38,Urban,Tech,Business Analyst,91783.14250789197
High School,3,Urban,Tech,Business Analyst,56297.838221685255
High School,2,Urban,Education,Business Analyst,43598.322570613636
Master's,28,Suburban,Healthcare,Data Scientist,125396.30451735566
Master's,10,Rural,Tech,Software Engineer,97807.30574531254
High School,32,Rural,Education,Project Manager,81120.77914685982
PhD,37,Rural,Education,Software Engineer,140586.31833203475
Master's,10,Urban,Tech,Project Manager,62497.34568653529
High School,26,Rural,Finance,Others,66203.34003625055
High School,32,Urban,Tech,Business Analyst,56464.60093407179
PhD,20,Suburban,Healthcare,Others,126273.5518823183
Bachelor's,38,Suburban,Tech,Others,112656.22101727301
Master's,30,Rural,Finance,Project Manager,137577.2984664233
PhD,37,Urban,Education,Data Scientist,166419.27368597666
High School,1,Urban,Healthcare,Business Analyst,25996.123124599337
High School,26,Rural,Healthcare,Others,65483.83743419135
PhD,35,Suburban,Healthcare,Software Engineer,152676.96530229782
Master's,10,Suburban,Healthcare,Business Analyst,78014.39407446727
Bachelor's,17,Suburban,Finance,Data Scientist,73918.27213615456
Bachelor's,0,Suburban,Finance,Business Analyst,63166.980645148695
High School,34,Suburban,Finance,Others,76822.69816469622
Master's,34,Rural,Finance,Software Engineer,125295.25634043604
Bachelor's,30,Rural,Education,Others,101945.67654550684
Master's,27,Rural,Tech,Data Scientist,135141.73426185624
Master's,38,Suburban,Finance,Project Manager,114918.42662507168
High School,0,Suburban,Tech,Software Engineer,41320.68339047842
Bachelor's,24,Rural,Healthcare,Data Scientist,92841.25711878385
PhD,37,Rural,Education,Data Scientist,143641.93865985298
